device_knumber,predicate_knumber,tier,verdict
K103414,K060152,SECTION_HEADED,YES
K111983,K070382,SECTION_HEADED,YES
K111983,K082848,SECTION_HEADED,YES
K111983,K092336,SECTION_HEADED,YES
K113346,K030377,SECTION_HEADED,YES
K113346,K031985,SECTION_HEADED,YES
K113346,K052566,SECTION_HEADED,YES
K113346,K062505,SECTION_HEADED,YES
K113346,K073420,SECTION_HEADED,YES
K113346,K090060,SECTION_HEADED,YES
K113755,K092420,SECTION_HEADED,YES
K133153,K073439,SECTION_HEADED,YES
K133153,K091797,SECTION_HEADED,YES
K133153,K092420,SECTION_HEADED,YES
K133514,K072970,SECTION_HEADED,YES
K133514,K102293,SECTION_HEADED,YES
K133844,K070598,SECTION_HEADED,YES
K133844,K124022,SECTION_HEADED,YES
K133844,K993714,SECTION_HEADED,YES
K141549,K021932,SECTION_HEADED,YES
K141549,K102903,SECTION_HEADED,YES
K141549,K112028,SECTION_HEADED,YES
K141549,K130092,SECTION_HEADED,YES
K143595,K120918,SECTION_HEADED,YES
K143595,K123045,SECTION_HEADED,YES
K143595,K123231,SECTION_HEADED,YES
K143595,K140319,SECTION_HEADED,YES
K143595,K140770,SECTION_HEADED,YES
K143595,K141665,SECTION_HEADED,YES
K143717,K081546,PROXIMITY_ONLY,YES
K143717,K090692,SECTION_HEADED,YES
K143717,K120359,SECTION_HEADED,YES
K143717,K121651,SECTION_HEADED,YES
K160975,K150583,SECTION_HEADED,YES
K161225,K011182,PROXIMITY_ONLY,YES
K161225,K030383,PROXIMITY_ONLY,YES
K161225,K051704,SECTION_HEADED,YES
K161225,K142146,PROXIMITY_ONLY,YES
K161225,K162995,PROXIMITY_ONLY,YES
K161225,K950099,PROXIMITY_ONLY,YES
K161225,K955348,PROXIMITY_ONLY,YES
K161225,K973836,PROXIMITY_ONLY,YES
K161225,K983583,PROXIMITY_ONLY,YES
K161225,K993808,PROXIMITY_ONLY,YES
K161280,K142152,SECTION_HEADED,YES
K161280,K150619,SECTION_HEADED,YES
K170968,K110360,SECTION_HEADED,YES
K170968,K131283,SECTION_HEADED,YES
K170968,K142117,SECTION_HEADED,YES
K170968,K153008,SECTION_HEADED,YES
K170968,K162795,SECTION_HEADED,YES
K172212,K121569,SECTION_HEADED,YES
K172212,K162682,SECTION_HEADED,YES
K190123,K003016,PROXIMITY_ONLY,NO
K190123,K012091,PROXIMITY_ONLY,NO
K190123,K021346,PROXIMITY_ONLY,NO
K190123,K061547,PROXIMITY_ONLY,NO
K190123,K062693,PROXIMITY_ONLY,NO
K190123,K100866,PROXIMITY_ONLY,NO
K190123,K101575,SECTION_HEADED,NO
K190123,K120599,SECTION_HEADED,NO
K190123,K121221,PROXIMITY_ONLY,NO
K190123,K122382,PROXIMITY_ONLY,NO
K190123,K123434,PROXIMITY_ONLY,NO
K190123,K123688,PROXIMITY_ONLY,NO
K190123,K130984,PROXIMITY_ONLY,NO
K190123,K140676,PROXIMITY_ONLY,NO
K190123,K141235,PROXIMITY_ONLY,NO
K190123,K142119,PROXIMITY_ONLY,NO
K190123,K150133,PROXIMITY_ONLY,NO
K190123,K150302,PROXIMITY_ONLY,NO
K190123,K170444,SECTION_HEADED,YES
K190123,K171181,PROXIMITY_ONLY,NO
K190123,K173898,SECTION_HEADED,NO
K190123,K180798,PROXIMITY_ONLY,NO
K190123,K181598,PROXIMITY_ONLY,NO
K190123,K842559,SECTION_HEADED,NO
K190123,K932222,SECTION_HEADED,NO
K193593,K152943,SECTION_HEADED,YES
K193593,K161230,SECTION_HEADED,YES
K193593,K163230,SECTION_HEADED,YES
K193593,K170592,SECTION_HEADED,YES
K193593,K172341,SECTION_HEADED,YES
K193593,K192760,SECTION_HEADED,YES
K200937,K110280,SECTION_HEADED,YES
K200937,K131802,PROXIMITY_ONLY,YES
K200937,K133350,PROXIMITY_ONLY,YES
K200937,K142381,SECTION_HEADED,YES
K200937,K180210,PROXIMITY_ONLY,YES
K200937,K180458,PROXIMITY_ONLY,YES
K200937,K193365,SECTION_HEADED,YES
K200961,K192504,SECTION_HEADED,YES
K201793,K171749,SECTION_HEADED,YES
K201793,K181380,SECTION_HEADED,YES
K203167,K042992,PROXIMITY_ONLY,YES
K203167,K070554,PROXIMITY_ONLY,YES
K203167,K093736,PROXIMITY_ONLY,YES
K203167,K123991,PROXIMITY_ONLY,YES
K203167,K173960,PROXIMITY_ONLY,YES
K203167,K192946,PROXIMITY_ONLY,YES
K213591,K172350,SECTION_HEADED,YES
K213591,K202496,SECTION_HEADED,YES
K213591,K212433,SECTION_HEADED,YES
K213791,K122872,SECTION_HEADED,YES
K213791,K172424,SECTION_HEADED,YES
K213791,K180347,SECTION_HEADED,YES
K213791,K190067,SECTION_HEADED,YES
K213791,K201605,SECTION_HEADED,YES
K221558,K094037,SECTION_HEADED,YES
K221558,K163044,SECTION_HEADED,YES
K221558,K190365,SECTION_HEADED,YES
K221558,K212348,SECTION_HEADED,YES
K221844,K100516,SECTION_HEADED,YES
K221844,K122872,SECTION_HEADED,YES
K221844,K171808,SECTION_HEADED,YES
K221844,K190830,SECTION_HEADED,YES
K233507,K072336,SECTION_HEADED,YES
K233507,K152298,SECTION_HEADED,NO
K233507,K162026,PROXIMITY_ONLY,NO
K233507,K182039,SECTION_HEADED,NO
K233507,K200113,SECTION_HEADED,NO
K233507,K230563,SECTION_HEADED,NO
K233507,K231947,PROXIMITY_ONLY,NO
K241000,K032151,SECTION_HEADED,YES
K241000,K033272,SECTION_HEADED,YES
K241000,K040166,SECTION_HEADED,YES
K241000,K060515,SECTION_HEADED,YES
K241000,K062654,SECTION_HEADED,YES
K241000,K063633,SECTION_HEADED,YES
K241000,K073529,SECTION_HEADED,YES
K241000,K160700,SECTION_HEADED,YES
K241000,K212746,PROXIMITY_ONLY,YES
K241000,K230295,PROXIMITY_ONLY,YES
K241000,K232303,PROXIMITY_ONLY,YES
K241000,K233980,PROXIMITY_ONLY,YES
K241000,K870730,SECTION_HEADED,YES
K241000,K882234,SECTION_HEADED,YES
K241000,K884796,SECTION_HEADED,YES
K241000,K896048,SECTION_HEADED,YES
K241000,K905810,SECTION_HEADED,YES
K241000,K923807,SECTION_HEADED,YES
K241000,K924940,SECTION_HEADED,YES
K241000,K936037,SECTION_HEADED,YES
K241000,K943462,SECTION_HEADED,YES
K241000,K950010,PROXIMITY_ONLY,YES
K241000,K952830,SECTION_HEADED,YES
K241000,K961685,SECTION_HEADED,YES
K241000,K963117,SECTION_HEADED,YES
K241000,K971189,SECTION_HEADED,YES
K241000,K971652,SECTION_HEADED,YES
K241000,K984158,SECTION_HEADED,YES
K251395,K161210,SECTION_HEADED,YES
K160652,K080398,SECTION_HEADED,YES
K160652,K092375,SECTION_HEADED,YES
K160652,K110838,SECTION_HEADED,YES
K160652,K122074,SECTION_HEADED,YES
K160652,K123850,SECTION_HEADED,YES
K160652,K131405,SECTION_HEADED,YES
K160652,K141049,SECTION_HEADED,YES
K160652,K150714,SECTION_HEADED,YES
K160652,K150875,SECTION_HEADED,YES
K160652,K151718,SECTION_HEADED,YES
K160652,K152681,SECTION_HEADED,YES
K163577,K022556,PROXIMITY_ONLY,YES
K163577,K032726,SECTION_HEADED,YES
K163577,K042344,PROXIMITY_ONLY,YES
K163577,K061699,PROXIMITY_ONLY,YES
K163577,K061786,PROXIMITY_ONLY,YES
K163577,K071535,PROXIMITY_ONLY,YES
K163577,K091508,PROXIMITY_ONLY,YES
K163577,K120030,SECTION_HEADED,YES
K163577,K130899,PROXIMITY_ONLY,YES
K163577,K143407,PROXIMITY_ONLY,YES
K163577,K161184,PROXIMITY_ONLY,YES
K163577,K932755,PROXIMITY_ONLY,YES
K163577,K964769,PROXIMITY_ONLY,YES
K243839,K010081,SECTION_HEADED,NO
K243839,K013211,SECTION_HEADED,NO
K243839,K032964,SECTION_HEADED,NO
K243839,K041906,SECTION_HEADED,NO
K243839,K050398,SECTION_HEADED,NO
K243839,K051556,SECTION_HEADED,NO
K243839,K051682,SECTION_HEADED,NO
K243839,K060107,SECTION_HEADED,NO
K243839,K070479,SECTION_HEADED,NO
K243839,K071676,PROXIMITY_ONLY,NO
K243839,K100269,SECTION_HEADED,NO
K243839,K102975,PROXIMITY_ONLY,NO
K243839,K103012,SECTION_HEADED,NO
K243839,K121392,SECTION_HEADED,NO
K243839,K122798,PROXIMITY_ONLY,NO
K243839,K141960,SECTION_HEADED,NO
K243839,K162732,SECTION_HEADED,YES
K243839,K173583,PROXIMITY_ONLY,NO
K243839,K182502,PROXIMITY_ONLY,NO
K243839,K963313,SECTION_HEADED,NO
K243839,K993082,SECTION_HEADED,NO
