n,device_knumber,predicate_knumber,tier,verdict
148,K213591,K172350,SECTION_HEADED,YES
149,K213591,K202496,SECTION_HEADED,YES
150,K213591,K212433,SECTION_HEADED,YES
151,K213791,K122872,SECTION_HEADED,YES
152,K213791,K172424,SECTION_HEADED,YES
153,K213791,K180347,SECTION_HEADED,YES
154,K213791,K190067,SECTION_HEADED,YES
155,K213791,K201605,SECTION_HEADED,YES
156,K221558,K094037,SECTION_HEADED,YES
157,K221558,K163044,SECTION_HEADED,YES
158,K221558,K190365,SECTION_HEADED,YES
159,K221558,K212348,SECTION_HEADED,YES
160,K221844,K100516,SECTION_HEADED,YES
161,K221844,K122872,SECTION_HEADED,YES
162,K221844,K171808,SECTION_HEADED,YES
163,K221844,K190830,SECTION_HEADED,YES
164,K233507,K072336,SECTION_HEADED,YES
165,K233507,K152298,SECTION_HEADED,NO
166,K233507,K162026,PROXIMITY_ONLY,NO
167,K233507,K182039,SECTION_HEADED,NO
168,K233507,K200113,SECTION_HEADED,NO
169,K233507,K230563,SECTION_HEADED,NO
170,K233507,K231947,PROXIMITY_ONLY,NO
171,K241000,K032151,SECTION_HEADED,YES
172,K241000,K033272,SECTION_HEADED,YES
173,K241000,K040166,SECTION_HEADED,YES
174,K241000,K060515,SECTION_HEADED,YES
175,K241000,K062654,SECTION_HEADED,YES
176,K241000,K063633,SECTION_HEADED,YES
177,K241000,K073529,SECTION_HEADED,YES
178,K241000,K160700,SECTION_HEADED,YES
179,K241000,K212746,PROXIMITY_ONLY,YES
180,K241000,K230295,PROXIMITY_ONLY,YES
181,K241000,K232303,PROXIMITY_ONLY,YES
182,K241000,K233980,PROXIMITY_ONLY,YES
183,K241000,K870730,SECTION_HEADED,YES
184,K241000,K882234,SECTION_HEADED,YES
185,K241000,K884796,SECTION_HEADED,YES
186,K241000,K896048,SECTION_HEADED,YES
187,K241000,K905810,SECTION_HEADED,YES
188,K241000,K923807,SECTION_HEADED,YES
189,K241000,K924940,SECTION_HEADED,YES
190,K241000,K936037,SECTION_HEADED,YES
191,K241000,K943462,SECTION_HEADED,YES
192,K241000,K950010,PROXIMITY_ONLY,YES
193,K241000,K952830,SECTION_HEADED,YES
194,K241000,K961685,SECTION_HEADED,YES
195,K241000,K963117,SECTION_HEADED,YES
196,K241000,K971189,SECTION_HEADED,YES
197,K241000,K971652,SECTION_HEADED,YES
198,K241000,K984158,SECTION_HEADED,YES
199,K251395,K161210,SECTION_HEADED,YES
